Designator,Footprint,Quantity,Value,LCSC Part #
CN1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,1,~,
FPC1,FPC-SMD_24P-P0.50_FPC-05F-24PH20,1,~,
FPC2,FPC-SMD_24P-P1.00_XUNPU_FPC-1.0AX-24PWBH25,1,~,
